"age","status","sex","orientation","body_type","diet","drinks","drugs","education","ethnicity","height","job","location","smokes"
36,"single","m","straight","fit","anything","often","sometimes","graduated from college/university","white",73,"construction / craftsmanship","oakland, california","no"
26,"single","m","straight","fit","strictly anything","not at all","never","graduated from college/university","black, white",73,"sales / marketing / biz dev","oakland, california","no"
29,"single","f","gay","thin","mostly anything","socially","never","graduated from two-year college","white",61,"hospitality / travel","san mateo, california","no"
29,"single","f","straight","average","vegetarian","socially","never","graduated from law school","white",68,"law / legal services","san francisco, california","no"
54,"single","f","straight","full figured","mostly anything","socially","never","graduated from college/university","white",69,"education / academia","redwood city, california","no"
20,"single","m","straight","thin","anything","rarely","never","working on college/university","white",72,"student","berkeley, california","no"
26,"single","f","gay","curvy","mostly anything","socially","never","working on college/university","hispanic / latin, white",63,"sales / marketing / biz dev","berkeley, california","no"
26,"single","f","straight","fit","mostly anything","socially","never","graduated from college/university","white",68,"science / tech / engineering","san francisco, california","no"
62,"single","m","straight","fit","anything","socially","never","graduated from masters program","white",73,"executive / management","menlo park, california","no"
27,"single","m","straight","athletic","mostly anything","socially","never","graduated from college/university","white",68,"computer / hardware / software","walnut creek, california","no"
29,"single","m","straight","a little extra","mostly halal","often","never","dropped out of high school","white",72,"artistic / musical / writer","san francisco, california","when drinking"
25,"single","m","straight","a little extra","mostly anything","often","sometimes","dropped out of college/university","white",71,"computer / hardware / software","el cerrito, california","when drinking"
32,"single","m","gay","fit","mostly anything","socially","never","graduated from college/university","white",69,"sales / marketing / biz dev","oakland, california","no"
21,"single","f","straight","fit","mostly anything","socially","never","working on college/university","hispanic / latin",66,"sales / marketing / biz dev","mill valley, california","no"
27,"single","f","straight","curvy","anything","often","never","graduated from college/university","white",68,"sales / marketing / biz dev","san francisco, california","no"
33,"single","f","straight","athletic","mostly anything","socially","never","working on masters program","white",60,"education / academia","san francisco, california","no"
28,"single","f","straight","athletic","mostly anything","rarely","never","graduated from law school","asian",67,"law / legal services","san francisco, california","no"
37,"single","m","straight","fit","mostly anything","not at all","never","graduated from college/university","white",79,"entertainment / media","san francisco, california","no"
28,"single","f","straight","thin","mostly vegetarian","rarely","never","working on ph.d program","indian",61,"science / tech / engineering","berkeley, california","no"
42,"single","m","straight","fit","anything","socially","never","graduated from ph.d program","asian",71,"education / academia","stanford, california","no"
32,"single","f","straight","a little extra","mostly anything","socially","never","graduated from masters program","white",63,"education / academia","san francisco, california","sometimes"
28,"single","m","straight","athletic","mostly anything","socially","sometimes","graduated from masters program","hispanic / latin",67,"banking / financial / real estate","san francisco, california","trying to quit"
27,"single","f","bisexual","fit","anything","socially","never","graduated from college/university","asian",65,"medicine / health","san pablo, california","no"
28,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","asian",67,"computer / hardware / software","san francisco, california","no"
29,"seeing someone","f","straight","fit","anything","socially","never","graduated from college/university","white",66,"education / academia","menlo park, california","no"
31,"single","f","straight","fit","strictly anything","socially","never","working on ph.d program","white",63,"student","oakland, california","when drinking"
43,"single","f","straight","curvy","strictly anything","socially","never","graduated from law school","white",69,"political / government","oakland, california","no"
24,"single","f","gay","fit","mostly anything","often","never","graduated from college/university","hispanic / latin, white",69,"other","san mateo, california","no"
30,"seeing someone","f","straight","thin","mostly anything","socially","never","working on college/university","white",66,"rather not say","menlo park, california","no"
59,"single","f","straight","a little extra","mostly anything","socially","never","graduated from college/university","white",62,"medicine / health","menlo park, california","no"
33,"single","m","straight","average","mostly anything","rarely","never","graduated from college/university","white",72,"science / tech / engineering","san francisco, california","no"
24,"single","f","straight","thin","mostly vegetarian","socially","never","graduated from college/university","white",59,"artistic / musical / writer","novato, california","when drinking"
43,"single","f","straight","thin","strictly anything","socially","never","graduated from masters program","indian",65,"banking / financial / real estate","san francisco, california","no"
29,"single","m","straight","average","mostly anything","socially","sometimes","graduated from masters program","hispanic / latin, white",70,"artistic / musical / writer","berkeley, california","no"
42,"single","f","straight","athletic","anything","socially","never","working on space camp","white",63,"medicine / health","lafayette, california","no"
58,"single","f","straight","athletic","mostly anything","rarely","never","graduated from masters program","white",70,"education / academia","berkeley, california","no"
50,"single","f","straight","thin","mostly anything","socially","never","two-year college","hispanic / latin",66,"sales / marketing / biz dev","fremont, california","no"
66,"single","f","straight","fit","mostly anything","socially","never","graduated from college/university","white",65,"retired","oakland, california","no"
22,"single","f","straight","average","strictly vegetarian","socially","never","graduated from high school","white",63,"other","san francisco, california","yes"
35,"single","m","straight","average","mostly other","rarely","never","graduated from college/university","asian",67,"entertainment / media","san francisco, california","no"
30,"single","m","straight","average","mostly anything","socially","never","graduated from two-year college","asian",69,"medicine / health","san mateo, california","no"
28,"single","m","straight","athletic","mostly anything","socially","sometimes","graduated from college/university","white",73,"student","oakland, california","no"
34,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","asian",62,"other","el cerrito, california","when drinking"
39,"single","m","straight","thin","anything","socially","never","graduated from two-year college","white",72,"entertainment / media","san francisco, california","trying to quit"
46,"single","m","straight","fit","strictly anything","socially","never","graduated from college/university","white",68,"other","oakland, california","no"
50,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",64,"education / academia","berkeley, california","no"
41,"single","m","straight","athletic","mostly anything","rarely","never","graduated from college/university","asian, pacific islander",67,"other","burlingame, california","trying to quit"
29,"single","f","straight","athletic","mostly anything","socially","never","graduated from two-year college","middle eastern, white",62,"other","oakland, california","no"
53,"single","f","straight","average","other","rarely","never","two-year college","white",69,"clerical / administrative","san mateo, california","no"
39,"single","m","straight","fit","mostly vegetarian","rarely","never","graduated from masters program","white",69,"science / tech / engineering","berkeley, california","no"
59,"single","f","straight","thin","mostly anything","not at all","never","graduated from college/university","white",63,"other","corte madera, california","no"
42,"single","f","straight","fit","strictly anything","rarely","sometimes","graduated from college/university","white",64,"other","san rafael, california","no"
27,"single","m","straight","athletic","strictly anything","rarely","never","graduated from college/university","black",80,"other","hayward, california","no"
45,"single","f","straight","average","mostly other","socially","never","graduated from college/university","white",60,"sales / marketing / biz dev","menlo park, california","no"
47,"single","m","straight","average","mostly anything","rarely","never","graduated from two-year college","white",69,"construction / craftsmanship","san francisco, california","no"
49,"single","f","straight","average","mostly vegetarian","socially","sometimes","graduated from college/university","white",63,"computer / hardware / software","san rafael, california","no"
26,"single","m","straight","athletic","mostly vegetarian","socially","sometimes","graduated from college/university","white",72,"science / tech / engineering","san francisco, california","no"
36,"single","f","straight","fit","mostly anything","socially","never","graduated from college/university","asian",63,"other","berkeley, california","no"
51,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","white",70,"executive / management","san leandro, california","no"
28,"single","m","straight","athletic","anything","socially","never","graduated from masters program","white",73,"medicine / health","san francisco, california","no"
48,"available","f","straight","average","mostly vegetarian","socially","never","graduated from college/university","hispanic / latin",62,"other","san francisco, california","no"
47,"single","m","straight","fit","mostly anything","not at all","never","dropped out of college/university","white",72,"construction / craftsmanship","oakland, california","no"
34,"single","f","bisexual","curvy","anything","socially","sometimes","college/university","white",66,"education / academia","castro valley, california","trying to quit"
37,"single","f","straight","fit","strictly anything","often","sometimes","graduated from college/university","other",65,"other","san francisco, california","sometimes"
32,"single","m","straight","athletic","mostly anything","socially","never","graduated from college/university","hispanic / latin",71,"sales / marketing / biz dev","san francisco, california","no"
33,"single","f","straight","average","mostly anything","socially","never","graduated from two-year college","black",64,"education / academia","vallejo, california","no"
42,"single","m","straight","average","strictly other","socially","sometimes","graduated from college/university","black, native american, white",75,"artistic / musical / writer","san francisco, california","trying to quit"
29,"single","m","straight","fit","strictly anything","socially","never","graduated from masters program","white",70,"education / academia","el cerrito, california","no"
55,"single","m","straight","average","mostly anything","socially","never","graduated from college/university","white",73,"computer / hardware / software","redwood city, california","no"
31,"single","f","straight","average","mostly vegetarian","not at all","never","graduated from college/university","white",64,"other","burlingame, california","no"
39,"single","f","straight","thin","anything","not at all","never","graduated from college/university","hispanic / latin",68,"science / tech / engineering","mountain view, california","no"
50,"available","m","straight","athletic","mostly anything","socially","never","graduated from college/university","white",74,"computer / hardware / software","berkeley, california","no"
35,"single","m","straight","fit","strictly vegetarian","socially","never","graduated from college/university","asian",72,"computer / hardware / software","oakland, california","no"
19,"single","f","straight","average","mostly vegetarian","socially","sometimes","working on college/university","white",67,"student","san francisco, california","sometimes"
62,"single","f","straight","thin","anything","socially","never","graduated from college/university","white",64,"artistic / musical / writer","san carlos, california","no"
44,"single","f","straight","fit","mostly anything","socially","never","graduated from masters program","white, other",68,"medicine / health","san francisco, california","no"
63,"single","f","straight","average","mostly anything","socially","never","dropped out of ph.d program","white",65,"banking / financial / real estate","mill valley, california","no"
53,"single","f","straight","average","mostly anything","socially","never","graduated from two-year college","hispanic / latin",62,"law / legal services","vallejo, california","no"
61,"single","f","straight","average","mostly anything","socially","never","dropped out of college/university","white",63,"retired","walnut creek, california","trying to quit"
34,"single","f","straight","athletic","anything","socially","never","graduated from masters program","white",67,"executive / management","san francisco, california","no"
30,"single","m","straight","athletic","strictly anything","socially","never","graduated from masters program","white",73,"science / tech / engineering","san carlos, california","sometimes"
20,"single","m","straight","average","mostly anything","socially","sometimes","working on college/university","white",69,"other","novato, california","no"
19,"single","m","bisexual","a little extra","anything","not at all","never","working on two-year college","white",72,"student","belmont, california","no"
60,"single","m","straight","athletic","anything","not at all","never","graduated from masters program","white",68,"other","richmond, california","no"
34,"single","f","straight","curvy","mostly anything","rarely","never","graduated from college/university","white",68,"artistic / musical / writer","hayward, california","no"
26,"single","m","straight","fit","mostly vegetarian","socially","never","graduated from college/university","white",75,"science / tech / engineering","san francisco, california","no"
44,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",65,"computer / hardware / software","san francisco, california","no"
30,"single","f","straight","skinny","strictly anything","often","sometimes","graduated from space camp","white",69,"other","san rafael, california","no"
26,"single","m","straight","average","strictly anything","socially","never","graduated from masters program","white",73,"computer / hardware / software","san francisco, california","no"
34,"single","m","straight","average","mostly anything","rarely","never","dropped out of college/university","white",73,"computer / hardware / software","san francisco, california","no"
48,"single","m","straight","fit","mostly anything","rarely","never","graduated from masters program","asian",69,"education / academia","san mateo, california","no"
27,"single","f","straight","average","mostly anything","rarely","never","graduated from masters program","white",63,"science / tech / engineering","hercules, california","no"
35,"single","m","straight","average","vegan","socially","never","graduated from ph.d program","asian",71,"other","oakland, california","no"
47,"single","f","straight","athletic","mostly anything","socially","never","graduated from college/university","white",66,"executive / management","san francisco, california","no"
31,"single","m","straight","athletic","mostly anything","socially","never","graduated from college/university","hispanic / latin",74,"education / academia","berkeley, california","no"
25,"single","f","straight","fit","anything","socially","never","graduated from law school","white",70,"student","san francisco, california","no"
33,"single","m","straight","thin","anything","not at all","never","dropped out of college/university","white",68,"clerical / administrative","oakland, california","no"
30,"available","m","straight","athletic","strictly vegetarian","socially","never","graduated from law school","white",67,"other","oakland, california","no"
57,"single","m","straight","athletic","strictly vegan","rarely","sometimes","graduated from college/university","white",69,"retired","palo alto, california","no"
41,"single","m","straight","skinny","mostly anything","socially","never","graduated from college/university","white",72,"science / tech / engineering","novato, california","no"
40,"single","f","straight","fit","mostly anything","socially","never","graduated from masters program","black",64,"other","oakland, california","no"
37,"single","m","straight","fit","strictly vegetarian","not at all","never","dropped out of two-year college","white",76,"medicine / health","berkeley, california","no"
60,"single","m","straight","fit","mostly anything","socially","never","graduated from law school","white",71,"banking / financial / real estate","san francisco, california","no"
22,"single","f","straight","jacked","mostly anything","often","sometimes","graduated from college/university","white",91,"sales / marketing / biz dev","san francisco, california","no"
57,"single","f","straight","average","mostly vegetarian","rarely","never","graduated from college/university","white",62,"other","walnut creek, california","no"
43,"single","f","straight","curvy","mostly anything","socially","never","graduated from college/university","white",67,"banking / financial / real estate","berkeley, california","no"
20,"single","f","straight","average","mostly anything","socially","never","working on college/university","black",62,"computer / hardware / software","oakland, california","no"
29,"single","m","gay","skinny","mostly vegetarian","socially","never","graduated from college/university","white",71,"artistic / musical / writer","san francisco, california","no"
41,"single","f","straight","thin","mostly anything","socially","never","graduated from college/university","native american, white",64,"clerical / administrative","vallejo, california","no"
23,"single","m","straight","fit","strictly anything","socially","never","graduated from college/university","white",68,"artistic / musical / writer","palo alto, california","no"
49,"single","f","straight","curvy","mostly other","socially","never","graduated from masters program","white",68,"other","san rafael, california","no"
59,"single","m","straight","average","anything","socially","never","graduated from college/university","other",71,"science / tech / engineering","hayward, california","no"
33,"single","f","straight","full figured","mostly anything","often","never","graduated from college/university","white",73,"other","san francisco, california","no"
36,"single","m","straight","average","strictly anything","socially","never","graduated from college/university","other",71,"computer / hardware / software","san francisco, california","no"
30,"single","f","gay","thin","vegetarian","socially","never","graduated from ph.d program","white",67,"science / tech / engineering","oakland, california","no"
28,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","hispanic / latin, white",67,"science / tech / engineering","san francisco, california","no"
29,"single","m","bisexual","a little extra","mostly vegetarian","socially","sometimes","graduated from ph.d program","black, other",79,"student","oakland, california","no"
47,"single","m","straight","fit","anything","socially","never","high school","white",76,"construction / craftsmanship","san mateo, california","no"
24,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","asian",69,"science / tech / engineering","alameda, california","no"
52,"single","f","straight","thin","strictly anything","often","never","graduated from masters program","white",65,"education / academia","san francisco, california","no"
32,"single","f","straight","fit","anything","socially","never","graduated from masters program","indian",61,"computer / hardware / software","san francisco, california","no"
31,"single","f","straight","fit","mostly vegan","rarely","never","working on masters program","native american, hispanic / latin, white",64,"political / government","berkeley, california","no"
22,"single","f","straight","average","mostly anything","socially","never","working on college/university","asian, pacific islander",64,"sales / marketing / biz dev","san francisco, california","no"
44,"single","m","straight","average","strictly anything","socially","never","graduated from college/university","white",72,"construction / craftsmanship","san francisco, california","trying to quit"
32,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",64,"entertainment / media","san francisco, california","no"
39,"single","f","straight","fit","strictly vegan","not at all","never","graduated from college/university","white, other",63,"other","oakland, california","no"
47,"single","f","straight","fit","mostly vegetarian","socially","never","graduated from college/university","white",66,"artistic / musical / writer","mill valley, california","no"
33,"single","m","straight","athletic","mostly anything","socially","sometimes","graduated from college/university","asian",70,"science / tech / engineering","oakland, california","trying to quit"
38,"single","f","straight","fit","mostly vegetarian","rarely","never","graduated from masters program","white",64,"science / tech / engineering","san francisco, california","no"
25,"single","m","straight","average","mostly anything","socially","never","graduated from college/university","asian",70,"banking / financial / real estate","san francisco, california","no"
23,"single","m","straight","overweight","strictly anything","very often","often","graduated from college/university","white",72,"student","san francisco, california","no"
48,"single","m","straight","fit","mostly anything","rarely","never","graduated from masters program","white",70,"banking / financial / real estate","san francisco, california","no"
27,"single","m","straight","fit","anything","socially","never","working on ph.d program","white",71,"student","berkeley, california","no"
59,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","asian",64,"education / academia","san rafael, california","no"
24,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","white",68,"computer / hardware / software","san francisco, california","no"
30,"available","m","straight","athletic","strictly anything","socially","never","working on masters program","white",75,"military","san francisco, california","no"
18,"single","m","straight","athletic","strictly anything","socially","never","working on college/university","white",73,"student","sausalito, california","no"
27,"single","f","straight","thin","mostly vegetarian","socially","never","graduated from college/university","white",64,"entertainment / media","palo alto, california","no"
43,"single","m","straight","average","mostly anything","often","often","working on space camp","white",69,"computer / hardware / software","san francisco, california","when drinking"
30,"single","m","straight","average","mostly anything","socially","never","graduated from college/university","asian",71,"medicine / health","san francisco, california","no"
41,"single","m","straight","average","mostly anything","socially","never","graduated from law school","white",75,"military","san francisco, california","trying to quit"
37,"single","m","straight","average","anything","socially","never","graduated from masters program","asian",68,"executive / management","san francisco, california","no"
42,"single","m","straight","athletic","mostly anything","socially","never","dropped out of college/university","hispanic / latin",72,"other","san francisco, california","no"
26,"single","f","straight","curvy","mostly anything","socially","never","working on two-year college","hispanic / latin, white",64,"student","san francisco, california","no"
37,"single","m","straight","fit","mostly anything","socially","sometimes","graduated from college/university","black",75,"transportation","san francisco, california","no"
50,"single","m","straight","average","mostly anything","often","never","graduated from college/university","white",70,"entertainment / media","san francisco, california","no"
49,"available","m","straight","athletic","strictly anything","socially","sometimes","dropped out of space camp","white, other",70,"artistic / musical / writer","san francisco, california","no"
32,"single","m","straight","curvy","mostly anything","rarely","sometimes","graduated from space camp","hispanic / latin, white",83,"other","hayward, california","when drinking"
26,"single","f","straight","a little extra","strictly vegan","desperately","often","dropped out of high school","other",59,"other","san francisco, california","yes"
23,"single","m","straight","average","mostly anything","socially","sometimes","working on college/university","asian",71,"artistic / musical / writer","san francisco, california","yes"
28,"single","m","straight","athletic","mostly anything","rarely","never","graduated from college/university","white",69,"medicine / health","san francisco, california","no"
44,"available","m","bisexual","athletic","mostly anything","socially","sometimes","working on college/university","native american, white, other",76,"other","san leandro, california","no"
36,"single","m","straight","average","strictly anything","often","sometimes","dropped out of college/university","white",72,"entertainment / media","orinda, california","yes"
41,"available","f","bisexual","fit","strictly anything","often","never","graduated from two-year college","white",66,"other","san francisco, california","no"
45,"single","m","straight","athletic","mostly anything","socially","never","graduated from two-year college","hispanic / latin",70,"banking / financial / real estate","larkspur, california","no"
26,"single","m","straight","average","strictly anything","often","never","graduated from college/university","white",76,"political / government","oakland, california","sometimes"
23,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","white",67,"artistic / musical / writer","san francisco, california","no"
29,"single","m","straight","average","anything","socially","never","graduated from law school","white",74,"other","san mateo, california","no"
33,"single","f","straight","thin","anything","not at all","never","graduated from college/university","white",60,"hospitality / travel","emeryville, california","no"
52,"single","m","straight","a little extra","anything","socially","never","graduated from high school","hispanic / latin",70,"other","castro valley, california","no"
25,"single","m","straight","athletic","mostly anything","socially","never","graduated from two-year college","hispanic / latin",63,"sales / marketing / biz dev","redwood city, california","trying to quit"
61,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","white",68,"medicine / health","moraga, california","no"
28,"single","m","straight","average","mostly anything","socially","never","graduated from masters program","white",71,"sales / marketing / biz dev","san francisco, california","when drinking"
35,"single","m","straight","average","strictly vegetarian","not at all","sometimes","working on ph.d program","white",73,"student","san francisco, california","no"
29,"single","f","straight","athletic","mostly anything","socially","never","graduated from masters program","white",68,"education / academia","menlo park, california","no"
45,"single","m","straight","average","mostly anything","socially","never","college/university","asian",65,"science / tech / engineering","daly city, california","no"
25,"single","f","straight","skinny","mostly anything","socially","never","graduated from college/university","indian",63,"executive / management","berkeley, california","no"
44,"seeing someone","f","straight","thin","mostly vegetarian","socially","sometimes","graduated from college/university","white",63,"artistic / musical / writer","san francisco, california","when drinking"
30,"single","f","straight","fit","mostly anything","rarely","sometimes","college/university","white",66,"sales / marketing / biz dev","san francisco, california","no"
58,"single","f","straight","curvy","anything","socially","never","graduated from masters program","white",64,"executive / management","albany, california","no"
44,"single","f","straight","fit","mostly anything","socially","never","graduated from masters program","white",68,"executive / management","san francisco, california","no"
38,"single","f","straight","curvy","strictly anything","socially","sometimes","graduated from masters program","indian, white, other",67,"science / tech / engineering","san francisco, california","no"
47,"single","f","straight","average","mostly anything","rarely","never","graduated from masters program","hispanic / latin, white",63,"executive / management","martinez, california","no"
28,"available","m","bisexual","fit","mostly vegetarian","often","sometimes","dropped out of college/university","white",68,"science / tech / engineering","san francisco, california","no"
64,"single","f","straight","average","mostly anything","rarely","never","graduated from college/university","white",67,"other","berkeley, california","no"
57,"single","f","straight","a little extra","anything","not at all","never","graduated from college/university","white",68,"hospitality / travel","berkeley, california","no"
64,"single","f","straight","athletic","mostly vegetarian","socially","never","graduated from masters program","white",69,"banking / financial / real estate","sausalito, california","no"
26,"single","m","straight","average","strictly anything","socially","never","working on med school","white",73,"medicine / health","san francisco, california","when drinking"
45,"single","f","straight","curvy","mostly anything","socially","never","graduated from masters program","white",63,"medicine / health","san francisco, california","no"
24,"single","f","straight","average","strictly anything","not at all","never","graduated from college/university","white",68,"executive / management","san francisco, california","yes"
26,"single","f","straight","skinny","mostly anything","socially","never","graduated from college/university","white",64,"banking / financial / real estate","emeryville, california","no"
25,"single","f","straight","fit","anything","socially","never","graduated from masters program","white",64,"sales / marketing / biz dev","san mateo, california","no"
35,"single","m","straight","athletic","mostly anything","socially","never","graduated from law school","white",71,"law / legal services","berkeley, california","no"
21,"single","m","straight","athletic","anything","socially","sometimes","graduated from high school","hispanic / latin, white",74,"other","hayward, california","sometimes"
48,"single","f","straight","fit","mostly anything","socially","never","graduated from college/university","white",69,"student","oakland, california","no"
27,"single","m","bisexual","athletic","mostly anything","very often","sometimes","graduated from two-year college","white",71,"other","oakland, california","when drinking"
31,"available","m","straight","thin","anything","socially","never","graduated from college/university","hispanic / latin, white",74,"construction / craftsmanship","berkeley, california","when drinking"
55,"single","f","straight","curvy","strictly other","socially","never","graduated from masters program","white",64,"education / academia","oakland, california","no"
37,"single","f","straight","athletic","mostly other","socially","never","graduated from two-year college","white",65,"other","oakland, california","no"
24,"single","m","straight","average","mostly anything","socially","never","working on college/university","white",74,"sales / marketing / biz dev","san lorenzo, california","trying to quit"
32,"single","f","straight","average","mostly anything","socially","never","graduated from law school","white",64,"law / legal services","alameda, california","no"
18,"single","m","straight","average","mostly anything","not at all","never","graduated from high school","pacific islander",70,"military","berkeley, california","no"
19,"single","m","straight","fit","mostly anything","socially","never","working on high school","hispanic / latin",75,"student","san leandro, california","no"
22,"single","f","straight","fit","mostly anything","socially","never","graduated from space camp","white",61,"artistic / musical / writer","berkeley, california","no"
19,"single","f","straight","overweight","strictly anything","socially","never","graduated from high school","hispanic / latin",63,"student","oakland, california","no"
43,"single","f","straight","curvy","mostly anything","socially","never","graduated from masters program","white",62,"artistic / musical / writer","emeryville, california","no"
33,"single","f","straight","skinny","anything","socially","never","graduated from college/university","asian",61,"science / tech / engineering","oakland, california","no"
27,"single","f","gay","skinny","vegetarian","often","never","graduated from college/university","white",69,"education / academia","san francisco, california","no"
26,"single","m","straight","average","anything","socially","never","college/university","white",71,"computer / hardware / software","san francisco, california","no"
